English;Synonyms;Latin;Synonyma;Français;Synonymes;Español;;Portugues;
Deep layer of brachial fascia;;Lamina profunda fasciae brachii;;Couche profonde du fascia brachial;;Capa profunda del fascia brachial;;As placas profundas da braçadeira;
Antebrachial fascia;;Fascia antebrachii;;Fascia antébrachial;;Fascia antebraquial;;Fáscia do antebraço;
Medial intermuscular septum of the antebrachial fascia;;Septum intermusculare mediale fasciae antebrachialis;;Septum intermusculaire médial du fascia antébrachial;;Septo intermuscular medial de la fascia antebraquial;;Septo intermuscular medial da fáscia antebraquial;
Lateral intermuscular septum of the antebrachial fascia;;Septum intermusculare laterale fasciae antebrachialis;;Septum intermusculaire latéral du fascia antébrachial;;Septo intermuscular lateral de la fascia antebraquial;;Septo intermuscular lateral da fáscia antebraquial;
Superficial layer of antebrachial fascia;;Lamina superficialis fasciae antebrachii;;Couche superficielle du fascia antebrachial;;Capa superficial del fascia antebrachial;;A placa superficial do antebraço;
Deep layer of antebrachial fascia;;Lamina profunda fasciae antebrachii;;Couche profonde du fascia antebrachial;;Capa profunda del fascia antebrachial;;As placas profundas do antebraço;
Dorsal fascia of hand;;Fascia dorsalis manus;;Fascia dorsal de la main;;Fascia dorsal de la mano;;Fáscia dorsal da mão;
Retinaculum of the extensors;;Retinaculum extensorum;;Rétinaculum des extenseurs;;Retinaculum de los extensores;;Retináculo extensor;
Palmar fascia of hand;;Fascia palmaris manus;;Fascia palmaire de la main;;Fascia palmar de la mano;;Fáscia palmar da mão;
Flexor retinaculum;;Retinaculum flexorum;;Rétinaculum des fléchisseurs;;Retináculum de los flexores;;Retináculo flexor;
Carpal tunnel;;Canalis carpi;%Canalis carpalis;Canal carpien;;Canal del carpo;;Síndrome do túnel do carpo;
Fascia of the fingers;;Fascia digiti;;Fascia des doigts;;Fascia de los dedos;;Bandagem no dedo;
Superficial transverse metacarpal lgt. [Palmar annular lgt.];%Palmar annular ligament;Ligamentum metacarpeum transv. superf. [Lgt anulare palm.];%Ligamentum metacarpale transversum superficiale%Ligamentum metacarpeum transversum superficiale;Ligament métacarpien transverse superficiel;%Ligament annulaire palmaire;Ligamento metacarpiano transverso superficial;;Ligamento metacarpal transverso superf. [Anel palmar longo.];
Fibrous sheaths of the fingers of the hand;;Vaginae fibrosae digitorum manus;;Gaines fibreuses des doigts de la main;;Vaina fibrosa de los dedos de la mano;;Bainhas fibrosas dos dedos da mão;
Annular part of fibrous sheath;%Anular ligament of fingers;Pars anularis vaginae fibrosae;%Pars anularis I-V%Ligamenta anularia digitorum manus%Ligamentum anulare digiti;Partie annulaire de la gaine fibreuse;%Ligament annulaire des doigts;Porción anular de la vaina fibrosa;;Parte anular da bainha fibrosa;
Cruciform part of the fibrous sheath;;Pars cruciformis vaginae fibrosae;;Partie cruciforme de la gaine fibreuse;;Parte cruciforma de la vaina fibrosa;;Parte cruciforme da bainha fibrosa;
Proximal scutum of hand;%Proximal scutum;Scutum proximale manus;%Scutum proximale;Scutum proximal de la main;%Scutum proximal;Scutum proximal;;Escudo proximal;
Middle scutum of hand;%Middle scutum;Scutum medium manus;%Scutum medium;Scutum moyen de la main;%Scutum moyen;Scutum medio;;Escudo do meio;
Distal scutum of hand;%Distal scutum;Scutum distale manus;%Scutum distale;Scutum distal de la main;%Scutum distal;Scutum distal;;Escudo distal;
Synovial sheath of tendons of the fingers of hand;;Vaginae synoviales tendinum digitorum manus;;Gaines synoviales des tendons des doigts de la main;;Vainas sinoviales de los tendones de los dedos de la mano;;Bainhas sinoviais dos tendões dos dedos da mão;
Sheatths of tendons;;Vincula tendinum;;Gaines des tendons;;Vinculas de los tendones;;Ligamentos tendinosos;
Muscles of pelvic limb;;Musculi membri pelvini;;Muscles du membre pelvien;%Muscles de la patte arrière;Músculos del miembro pelvico;;Músculos do assoalho pélvico;
Hip and thigh muscles;;Musculi coxae et femoris;;Muscles de la hanche et de la cuisse;;Músculos de la cadera y del muslo;;Músculos do quadril e da coxa;
Iliopsoas muscle;%Hyrtl's muscle;Iliopsoas;%Musculus iliopsoae%Musculus iliopsoas;Muscle iliopsoas;%Muscle psoas-iliaque£%Iliopsoas%Psoasiliaque%Psoas-iliaque%Ilio-psoas;Iliopsoas;;Iliopsoas;
Iliacus muscle;;Musculus iliacus;%Musculus ilicus;Muscle iliaque;;Músculo ilíaco;;Músculo ilíaco;
Psoas major muscle;;Musculus psoas major;;Muscle grand psoas;%Grand psoas;Músculo psoas mayor;;Músculo psoas maior;
Psoas minor muscle;;Musculus psoas minor;;Muscle petit psoas;%Petit psoas;Musculo psoas minor;;Músculo psoas menor;
Superficial gluteus muscle;;Musculus gluteus superficialis;;Muscle fessier superficiel;%Fessier superficiel;Músculo glúteo superficial;;Músculo glúteo superficial;
Gluteofemoral muscle;;Musculus gluteofemoralis;;Muscle glutéofémoral;%Glutéofémoral;Músculo glúteofemoral;;Músculo glúteo-femoral;
Gluteobiceps muscle;;Musculus gluteobiceps;;Muscle glutéobiceps;%Glutéobiceps;Musculo gluteobiceps;;Músculo glúteo-bíceps;
Gluteus medius muscle;;Musculus gluteus medius;%Musculus glutaeus medius;Muscle moyen fessier;%Muscle moyen glutéal%Moyen fessier;Músculo glúteo medio;;Músculo glúteo médio;
Accessory gluteus muscle;;Musculus gluteus accessorius;;Muscle fessier accessoire;%Fessier accessoire%Fessier moyen;Músculo glúteo accesorio;;Músculo acessório do glúteo;
Deep gluteus muscle;;Musculus gluteus profundus;;Muscle fessier profond;%Fessier profond;Músculo glúteo profundo;;Músculo glúteo profundo;
Tensor fasciae lata muscle;;Musculus tensor fasciae latae;;Muscle tenseur du fascia lata;%Tenseur du fascia lata%TFL;Tensor de la fascia rotadora;;Músculo tensor da fáscia lata;
Tensor fasciae lata and gluteus superficialis muscles;;Musculi tensor fasciae latae et gluteus superficialis;;Muscles tenseur du fascia lata et fessier superficiel;;Músculos tensores de la fascia lata y glúteo superficial.;;Músculos tensor da fáscia lata e glúteo superficial;
Piriformis muscle;;Musculus piriformis;;Muscle piriforme;%Piriforme%Muscle pyramidal;Músculo piriforme;;Músculo piriforme;
Gluteus medius and piriformis muscles;;Musculi gluteus medius et piriformis;;Muscles moyen fessier et piriforme;;Músculos glúteo medio y piriforme;;Músculos glúteo médio e piriforme;
Internal obturator muscle;;Musculus obturatorius internus;;Muscle obturateur interne;%Obturateur interne;Músculo obturador interno;;Músculo obturador interno;
Gemelli muscles;;Musculi gemelli;;Muscles jumeaux;;Músculos gemelos;;Músculos gêmeos;
Superior gemellus muscles;;Musculus gemellus superioris;;Muscle jumeau supérieur;;Músculo gemelo superior;;Músculo gêmeo superior;
Inferior gemellus muscles;;Musculus gemellus inferioris;;Muscle jumeau inférieur;;Músculo gemelo inferior;;Músculo gêmeo inferior;
Quadratus femoris muscle;;Musculus quadratus femoris;;Muscle carré fémoral;%Carré fémoral;Músculo cuadrado femoral;;Músculo quadrado femoral;
Sartorius muscle;;Musculus sartorius;;Muscle sartorius;%Sartorius;Músculo sartorio;;Músculo sartório;
Cranial part of sartorius (ca);;Pars cranialis musculi sartorii (ca);;Partie crâniale du sartorius (ca);;Parte craneal (ca);;Parte cranial do músculo sartório (ca);
Caudal part of sartorius (ca);;Pars caudalis musculi sartorii (ca);;Partie caudale du sartorius (ca);;Parte caudal (ca);;Parte caudal do músculo sartório (ca);
Fascia lata and sartorius muscle;;Fascia lata et muscle sartorius;;Fascia lata et muscle sartorius;;Fascia lata y músculo sartorio;;Fáscia lata e músculo sartório;
Hip articular muscle (Car, eq);;Musculus articularis coxae (Car, eq);;Muscle articulaire de la hanche (Car, eq);;Músculo articular de la cadera (Car, eq);;Músculo articular do quadril (Car, eq);
Quadriceps femoris muscle;;Musculus quadriceps femoris;;Muscle quadriceps fémoral;%Quadriceps fémoral;Músculo cuádriceps femoral;;Músculo quadríceps femoral;
Rectus femoris muscle;;Musculus rectus femoris;;Muscle droit fémoral;%Droit fémoral%Muscle droit de la cuisse;Músculo recto femoral;;Músculo reto femoral;
Vastus lateralis muscle;;Musculus vastus lateralis;%Musculus vastus fibularis;Muscle vaste latéral;%Vaste latéral;Músculo vasto lateral;;Músculo vasto lateral;
Vastus medialis and vastus intermedius muscles;;Musculi vastus medialis et intermedius;;Muscles vaste médial et vaste intermédiaire;;Músculos vasto medial e intermedio;;Músculos vasto medial e intermediário;
Vastus intermedius muscle;;Musculus vastus intermedius;;Muscle vaste intermédiaire;%Vaste intermédiaire;Músculo vasto intermedio;;Músculo vasto intermédio;
Vastus medialis muscle;;Musculus vastus medialis;%Musculus vastus tibialis;Muscle vaste médial;%Vaste médial;Músculo vasto medial;;Músculo vasto medial;
Articular muscle of knee (Car, bo);;Musculus articularis genus (Car, bo);;Muscle articulaire du genou (Car, bo);;Músculo articular de la rodilla (Car-bo);;Gênero Musculus articularis (Car, bo);
Pectineus muscle;;Musculus pectineus;;Muscle pectiné;%Pectiné;Músculo pectíneo;;Músculo da vieira;
Gracilis muscle;;Musculus gracilis;;Muscle gracile;%Gracile;Músculo grácil;;Músculo grácil;
Symphysial tendon;;Tendo symphysialis;;Tendon symphysaire;;Tendón sinfisario;;Tendão da sínfise;
Adductor muscle;;Musculus adductor;;Muscle adducteur;;Músculo aductor;;Músculo adutor;
Adductor longus muscle;;Musculus adductor longus;;Muscle long adducteur;%Long adducteur;Músculo aductor largo;;Músculo adutor longo;
Short adductor muscle;;Musculus adductor brevis;;Muscle court adducteur;%Court adducteur;Músculo aductor corto;;Músculo adutor curto;
Adductor magnus muscle;;Musculus adductor magnus;;Muscle grand adducteur;%Grand adducteur;Músculo aductor magnus;;Músculo adutor magno;
External obturator muscle;;Musculus obturatorius externus;;Muscle obturateur externe;%Obturateur interne;Músculo obturador externo;;Músculo obturador externo;
Intrapelvic part;;Pars intrapelvina;;Partie intrapelvienne;;Parte intrapélvica;;Parte pélvica;
Leg muscles;;Musculi crurum;;Muscles de la jambe;;Músculos de las piernas;;Músculos da perna;
Biceps femoris muscle;;Musculus biceps femoris;;Muscle biceps fémoral;%Biceps fémoral;Músculo bíceps femoral;;Músculo bíceps femoral;
Abductor cruris caudalis muscle (Car);;Musculus abductor cruris caudalis (Car);;Muscle abducteur caudal de la jambe (Car);%Adducteur caudal de la jambe;Músculo abductor caudal de la pierna (Car);;Músculo abdutor da perna caudal (Car);
Semitendinosus muscle;;Musculus semitendinosus;%Musculus semitendineus;Muscle semitendineux;%Semitendineux;Músculo semitendinoso;;Músculo semitendinoso;
Semimembranosus muscle;;Musculus semimembranosus;%Musculus semimembranaceus;Muscle semimembraneux;%Semimembraneux;Músculo semimembranoso;;Músculo semimembranoso;
Tibial cranial muscle;;Musculus tibialis cranialis;;Muscle tibial crânial;%Tibial crânial;Músculo tibial cranial;;Músculo tibial cranial;
Extensor digitorum longus muscle;;Musculus extensor digitorum longus;;Muscle long extenseur des orteils;%Long extenseur des orteils;Músculo extensor largo de los dedos;;Músculo extensor longo dos dedos;
Fibularis tertius muscle;;Musculus fibularis tertius;%Musculus peroneus tertius%Peroneus tertius muscle;Muscle troisième fibulaire;%Troisième fibulaire;Músculo fibular tercero;;Músculo fibular terceiro;
Extensor digiti I longus muscle (Car, su, ov);;Musculus extensor digiti I longus (Car, su, ov);;Muscle long extenseur du premier orteil (Car, su, ov);%Muscle long extenseur de l'hallux (Car, su, ov)%Muscle long extenseur du gros orteil (Car, su, ov);Músculo extensor largo del dedo I (Car, su, ov);;Músculo extensor digitorum longus (Car, su, ov);
Extensor digitorum longus and extensor digiti minimi muscles;;Extensor digitorum longus et extensor digiti minimi musculi;;M. long extenseur des orteils et long extenseur du doigt I;;Mm. extensor largo de los dedos y ext. mínimo de los dedos;;Músculos extensor longo dos dedos e extensor mínimo dos dedos;
Fibularis longus muscle;;Musculus fibularis longus;%Musculus peroneus longus%Peroneus longus muscle;Muscle long fibulaire;%Long fibulaire;Músculo fibular largo;;Músculo fibular longo;
Lateral extensor digitorum pedis muscle;;Musculus extensor digitorum lateralis pedis;;Muscle extenseur latéral des orteils;%Extenseur latéral des orteils;Músculo extensor lateral de los dedos de pie;;Músculo extensor digitorum lateral do pé;
Fibularis brevis muscle;;Musculus fibularis brevis;%Musculus peroneus brevis%Peroneus brevis muscle;Muscle court fibulaire;%Court fibulaire;Músculo fibular corto;;Músculo fibular curto;
Triceps surae muscle;;Musculus triceps surae;;Muscle triceps sural;%Triceps sural%Mollet;Músculo tríceps sural;;Músculo tríceps sural;
Gastrocnemius muscle;;Musculus gastrocnemius;;Muscle gastrocnémien;%Gastrocnémien%Gastrocnémiens;Músculo gastrocnemio;;Músculo gastrocnêmio;
Lateral head of gastrocnemius muscle;;Caput laterale musculi gastrocnemii;;Chef latéral du muscle gastrocnémien;;Cabeza lateral;;Cabeça lateral do músculo gastrocnêmio;
Medial head of gastrocnemius muscle;;Caput mediale musculi gastrocnemii;;Chef médial du muscle gastrocnémien;;Cabeza medial;;Cabeça medial do músculo gastrocnêmio;
Soleus muscle;;Musculus soleus;;Muscle soléaire;%Soléaire;Músculo sóleo;;Músculo sóleo;
Common calcaneal tendo;;Tendo calcaneus communis;;Tendon calcanéen commun;%Tendon d'achille;Tendón calcaneo communis;;Tendão calcâneo comum;
Superficial flexor of the fingers of the foot;;Musculus flexor digitorum superficialis pedis;;Muscle fléchisseur superficiel des orteils;%Fléchisseur superficiel des orteils%Tendon perforé du pied;Tendón flexor superficial de los dedos de pie;;Músculo flexor superficial dos dedos do pé;
Manica flexoria of the foot;;Manica flexoria pedis;;Manica flexoria du pied;;Manica flexoria del pie;;Tendão flexor do pé;
Popliteus muscle;;Musculus popliteus;;Muscle poplité;%Poplité;Músculo poplíteo;;Músculo poplíteo;
Deep flexors of the toes;;Musculi flexores digitorum profundi;;Fléchisseurs profonds des orteils;%Tendon perforant;Flexores profundos de los dedos;;Músculos flexores profundos dos dedos;
Lateral flexor digitorum muscle;Flexor digiti I longus?;Musculus flexor digitorum lateralis;;Muscle fléchisseur latéral des orteils;%Fléchisseur latéral des orteils;Músculo flexor lateral de los dedos;;Músculo flexor lateral dos dedos;
Flexor digitorum medialis muscle;;Musculus flexor digitorum medialis;;Muscle fléchisseur médial des orteils;%Fléchisseur médial des orteils;Músculo flexor medial de los dedos;;Músculo flexor digitorum medial;
Caudal tibial muscle;;Musculus tibialis caudalis;;Muscle tibial caudal;%Tibial caudal;Músculo tibial caudal;;Músculo tibial caudal;
Common tendo;;Tendo communis;;Tendon commun;;Tendon común;;Costumam ser comuns;
Accessory ligament;;Ligamentum accessorium;;Ligament accessoire;%Chef principal du tendon du fléchisseur profond des orteils;Ligamento accesorio;;Ligamento acessório;
Interflexor muscles of foot;;Musculi interflexorii pedis;;Muscles interfléchisseurs du pied;%Interfléchisseurs du pied;Músculos interflexores del pie;;Músculos interflexores do pé;
Extensor digitorum brevis;;Musculus extensor digitorum brevis;;Muscle court extenseur des orteils;%Court extenseur des orteils;Músculo extensor corto de los dedos;;Músculo extensor curto dos dedos;
Abductor of first toe;;Musculus abductor digiti I;;Muscle abducteur du premier orteil;%Abducteur du premier orteil;Músculo abductor del dedo I;;Músculo abdutor dos dedos I;
Short flexor of first toe;;Musculus flexor digiti I brevis pedis;;Muscle court fléchisseur du premier orteil;%Court fléchisseur du premier orteil;Músculo flexor corto del dedo I del pie;;Músculo flexor digitorum brevis do pé;
Adductor of first toe;;Musculus adductor digiti I pedis;;Muscle adducteur du premier orteil;%Adducteur du premier orteil;Músculo aductor del dedo I del pie;;Músculo adutor do primeiro dedo do pé;
Abductor of second toe;;Musculus abductor digiti II pedis;;Muscle abducteur du deuxième orteil;%Abducteur du deuxième orteil;Musculo abductor del dedo II del pie;;Músculo abdutor do segundo dedo do pé;
Adductor of second toe;;Musculus adductor digiti II pedis;;Muscle adducteur du deuxième orteil;%Adducteur du deuxième orteil;Músculo aductor del dedo II del pie;;Músculo adutor do segundo dedo do pé;
Abductor of fifth toe;;Musculus abductor digiti V pedis;;Muscle abducteur du cinquième orteil;%Abducteur du cinquième orteil;Músculo abductor del dedo V del pie;;Músculo abdutor do quinto dedo do pé;
Adductor of fifth toe;;Musculus adductor digiti V pedis;;Muscle adducteur du cinquième orteil;%Adducteur du cinquième orteil;Músculo aductor del dedo V del pie;;Músculo adutor do quinto dedo do pé;
Flexor digitorum brevis of foot;;Musculus flexor digitorum brevis pedis;;Muscle court fléchisseur des orteils;%Court fléchisseur des orteils;Músculo flexor corto de los dedos del pie;;Músculo flexor digitorum brevis do pé;
Quadratus plantae muscle;%Flexor accessorius muscle;Musculus quadratus plantae;%Flexor accessorius%Musculus flexor accessorius;Muscle carré plantaire;%Carré plantaire;Músculo cuadrado plantar;;Músculo plantar quadrado;
Lumbrical muscles of foot;%Lumbricals of foot;Musculi lumbricales pedis;%Musculi lumbricales I-IV pedis;Muscles lombricaux du pied;%Lombricaux du pied;Músculos lumbricales del pie;;Músculos lumbricais do pé;
Interosseous muscles of foot;;Musculi interossei pedis;;Muscles interosseux du pied;%Interosseux du pied;Músculos interóseos del pie;;Músculos interósseos do pé;
Fascia of the hip and thigh;;Fascia coxae et femoris;;Fascias de la hanche et de la cuisse;;Fascia de la cadera y del muslo;;Fáscia do quadril e da coxa;
Gluteal fascia;;Fascia glutea;;Fascia glutéal;%Fascia fessier;Fascia glútea;;Fáscia glútea;
Fascia lata;;Fascia lata;;Fascia lata;%Fascia fémoral;Fascia lata;;Banda larga;
Medial intermuscular septum of the thigh;;Septum intermusculare mediale femoris;;Septum intermusculaire médial de la cuisse;;Tabique intermuscular medial del muslo;;Septo intermuscular medial da coxa;
Lateral intermuscular septum of the thigh;;Septum intermusculare laterale femoris;;Septum intermusculaire latéral de la cuisse;;Tabique intermuscular lateral del muslo;;Septo intermuscular lateral da coxa;
Superficial layer of fascia lata;;Lamina superficialis fasciae latae;;Lame superficielle du fascia lata;%Couche superficielle du fascia lata;Lamina superficial del fascia lata;;Camada superficial da fáscia latae;
Deep layer of fascia lata;;Lamina profunda fasciae latae;;Lame profonde du fascia lata;%Couche profonde du fascia lata;Lamina profunda del fascia lata;;Placa profunda de fáscia ampla;
Iliac fascia;%Abernethy's fascia;Fascia iliaca;%Pars iliaca;Fascia iliaque;%Fascia d'Abernethy;Fascia ilíaca;;Fáscia ilíaca;
Spaces and associated structures;;Spatia et structurae conexae;;Espaces et structures associées;;Espacios y estructuras interconectadas;;Espaços e estruturas interligados;
Muscular space;;Lacuna musculorum;;Lacune musculaire;;Espacio muscular;;Espaços musculares;
Vascular space;;Lacuna vasorum;;Lacune vasculaire;;Espacio vascular;;Lacunas nos vasos;
Femoral ring;;Anulus femoralis;;Anneau fémoral;;Anillo femoral;;Anel femoral;
Femoral septum;%Cloquet's septum;Septum femorale;%Septum anuli femoralis%Septum Cloqueti;Septum fémoral;%Septum de Cloquet;Septo femoral;;Septo femoral;
Femoral triangle;%Scarpa's triangle;Trigonum femorale;%Fossa major Scarpae;Triangle fémoral;%Triangle de Scarpa;Triángulo femoral;;Triângulo femoral;
Femoral canal;;Canalis femoralis;;Canal fémoral;;Canal femoral;;Canal femoral;
Fascia of the leg and foot;;Fascia cruris et pedis;;Fascias de la jambe et du pied;;Vendaje de pierna y pie;;Bandagem na perna e no pé;
Crural fascia;%Deep fascia of leg;Fascia cruris;;Fascia jambier;%Fascia crural;Fascia crural;;Bandagem na perna;
Caudal tibial septum;;Septum tibiale caudale;;Septum tibial caudal;;Tabique tibial caudal;;Septo tibial caudal;
Cranial fibular septum;;Septum fibulare craniale;;Septum fibulaire crânial;;Tabique peroneo craneal;;Septo fibular cranial;
Caudal fibular septum;;Septum fibulare caudale;;Septum fibulaire caudal;;Tabique peroneo caudal;;Septo fibular caudal;
Superficial layer of crural fascia;;Lamina superficialis fasciae cruris;;Couche superficielle du fascia crural;;Capa superficial del fascia crural;;A camada superficial da faixa da perna;
Deep layer of crural fascia;;Lamina profunda fasciae cruris;;Couche profonde du fascia crural;;Capa profunda del fascia crural;;As placas profundas da faixa da perna;
Lamina propria;;Lamina propria;;Lamina propria;;Lamina propria;;Prato próprio;
Retinaculum extensorum crural;;Retinaculum extensorum crurale;;Rétinaculum des extenseurs de la jambe;;Retinaculum de los extensores de la pierna;;Retináculo extensor femoral;
Retinaculum extensorum tarsal;;Retinaculum extensorum tarsi;;Rétinaculum des extenseurs du tarse;;Retinaculum de los extensores del tarso;;Retináculo extensor do tarso;
Retinaculum of metatarsal extensors;;Retinaculum extensorum metatarsale;;Rétinaculum des extenseurs du métatarse;;Retinaculum de los extensores del metatarso;;Retináculo extensor metatarsal;
Retinaculum of fibular muscles;;Retinaculum musculi fibularium;;Rétinaculum des muscles fibulaires;;Retinaculum de los músculos fibulares;;Retináculo do músculo fibular;
Dorsal fascia of foot;;Fascia dorsalis pedis;;Fascia dorsal du pied;;Fascia dorsal del pie;;Fáscia dorsal do pé;
Plantar fascia;;Fascia plantaris;;Fascia plantaire;;Fascia plantar;;Fáscia plantar;
Fascia of toes;;Fascia digiti pedis;;Fascia des orteils;;Fascia de los dedos de pie;;Bandagem para o dedo do pé;
Superficial transverse metatarsal ligament;%Annular plantar ligament;Ligamentum metatarseum transversum superficiale;%Ligamentum metatarsale transversum superficiale%Ligamentum plantae transversum superficiale%Ligamentum anulare plantare;Ligament métatarsien superficiel transverse;%Ligament annulaire plantaire;Ligamento metatarsiano transverso superficial;%Ligamento annular plantar;Ligamento metatarsal transverso superficial;%Ligamento anular plantar
Fibrous sheaths of toes;%Fibrous sheaths of digits of foot;Vaginae fibrosae digitorum pedis;%Ligamenta vaginalia digitorum pedis;Gaines fibreuses des orteils;;Vainas fibrosas de los dedos del pie;;Bainhas fibrosas dos dedos dos pés;
Annular part of the fibrous sheath of the foot;;Pars anularis vaginae fibrosae pedis;;Partie annulaire de la gaine fibreuse du pied;;Parte annular fibrosa de la vaina del pie;;Parte anular da bainha fibrosa do pé;
Cruciform part of the fibrous sheath of the foot;;Pars cruciformis vaginae fibrosae pedis;;Partie cruciforme de la gaine fibreuse du pied;;Parte cruciforma de la vaina fibrosa del pie;;Parte cruciforme da bainha fibrosa do pé;
Proximal scutum of the foot;;Scutum proximale pedis;;Scutum proximal du pied;;Scutum proximal del pie;;Escudo proximal do pé;
Middle scutum of the foot;;Scutum medium pedis;;Scutum moyen du pied;;Scutum medio del pie;;O escudo central do pé;
Distal scutum of the foot;;Scutum distale pedis;;Scutum distal du pied;;Scutum distal del pie;;Escudo distal do pé;
Sheaths of tendons of the foot;;Vincula tendinum digitorum pedis;;Gaines des tendons du pied;;Ligamentos de tendones del pie;;Ligamentos tendinosos dos dedos dos pés;
Bursae and synovial sheaths;;Bursae et vaginae synoviales;;Bourses et gaines synoviales;;Bursas y vainas sinoviales;;Bursas e bainhas sinoviais;
Subcutaneous synovial bursa;;Bursa synovialis subcutanea;;Bourse synoviale sous-cutanée;;Bursa sinovial subcutánea;;Bursa sinovial subcutânea;
Submuscular synovial bursa;;Bursa synovialis submuscularis;;Bourse synoviale sous-musculaire;;Bursa sinovial submuscular;;Bursa sinovial submuscular;
Subfascial synovial bursa;;Bursa synovialis subfascialis;;Bourse synoviale subfasciale;;Bursa sinovial subfascial;;Bursa sinovial subfascial;
Subtendinous synovial bursa;;Bursa synovialis subtendinea;;Bourse synoviale sous-tendineuse;;Bursa sinovial subtendina;;Bursa sinovial subtendinosa;
Subligamentar synovial bursa;;Bursa synovialis subligamentosa;;Bourse synoviale subligamentaire;;Bursa sinovial subligamentaria;;Bursa sinovial subligamentar;
Bursae and synovial sheath of head, neck, and trunk;;Bursae et vaginae synoviales capitis, colli, et trunci;;Bourses et gaines synoviales de la tête, du cou et du tronc;;Bolsas y vaina sinovial de cabeza, cuello y tronco;;Bursas e bainhas sinoviais da cabeça, pescoço e tronco.;
Bursae and synovial sheath of head;;Bursae et vaginae synoviales capitis;;Bourses et gaines synoviales de la tête;;Bolsas sinoviales y vainas sinoviales de la cabeza;;Bursas e bainhas sinoviais da cabeça;
Bursae and synovial sheath of neck;;Bursae et vaginae synoviales colli;;Bourses et gaines synoviales du cou;;Bolsas sinoviales y vainas sinoviales del cuello;;Bursas e bainhas sinoviais do pescoço;
Bursae and synovial sheath of vertebral axis;;Bursae et vaginae synoviales vertebralis axis;;Bourses et gaines synoviales de l'axe vertébral;;Bolsas sinoviales y vainas sinoviales del eje vertebral;;Bursas e bainhas sinoviais do eixo vertebral;
Synovial sheath of dorsal oblique muscle;;Vagina synovialis musculus obliqui dorsalis;;Gaine synoviale du muscle oblique dorsal;;Vaina sinovial del músculo oblicuo dorsal;;Bainha sinovial do músculo oblíquo dorsal;
Bursa of the tensor veli palatini muscle;;Bursa musculus tensoris veli palatini;;Bourse du muscle tenseur du voile du palais;;Bursa del músculo tensor del velo palatino;;Bursa do músculo tensor do véu palatino;
Digastric tendon's sheath;;Vagina tendinis musculus digastrici;;Gaine du tendon du muscle digastrique;%Gaine tendineuse du muscle digastrique;Vaina del tendón del muculo digástrico;;Bainha tendinosa do músculo digástrico;
Supraspinalis subligamentous bursa;;Bursa subligamentosa supraspinalis;;Bourse sous-ligamentaire supraspinale;;Bursa subligamentosa supraespinosa;;Bursa subligamentar supraespinhal;
Cranial subligamentous nuchal bursa;;Bursa subligamentosa nuchalis cranialis;;Bourse sous-ligamentaire nuchale crâniale;%Bourse sous-ligamentaire nucale crâniale;Bursa subligamentosa nucal cranial;;Bursa subligamentar nucal cranial;
Caudal subligamentous nuchal bursa;;Bursa subligamentosa nuchalis caudalis;;Bourse sous-ligamentaire nuchale caudale;%Bourse sous-ligamentaire nucale caudale;Bursa subligamentosa nucal caudal;;Bursa subligamentar nucal caudal;
Bursae and synovial sheaths of thoracic limb;;Bursae et vaginae synoviales membri thoracici;;Bourses et gaines synoviales du membre thoracique;;Bursas y vainas sinoviales del miembro torácico;;Bursas e bainhas sinoviais do membro torácico;
Synovial sheaths of the tendons of the fingers;;Vaginae synoviales tendinum digitorum;;Gaines synoviales des tendons des doigts de la main;;Vainas sinoviales de los tendones de los dedos;;Bainhas sinoviais dos tendões dos dedos;
Prescapularis subcutaneous bursa (eq);;Bursa subcutanea prescapularis (eq);;Bourse sous-cutanée préscapulaire (eq);;Bursa subcutánea preescapular (eq);;Bursa subcutânea pré-escapular (eq);
Subdeltoid bursa;;Bursa subdeltoidea;;Bourse subdeltoïdienne;;Bolsa subdeltoidea;;Bolsa subdeltoide;
Subtendinous bursa of coracobrachialis muscle;;Bursa subtendinea musculus coracobrachialis;;Bourse sous-tendineuse du muscle coracobrachial;;Bursa subtendinosa del músculo coracobrachial;;Bursa subtendinum do músculo coracobraquial;
Synovial sheath of coracobrachialis muscle;;Vagina synovialis musculus coracobrachialis;;Gaine synoviale du muscle coracobrachial;;Vaina sinovial del músculo coracobraquial;;Bainha sinovial do músculo coracobraquial;
Subtendinous bursa of infraspinous muscle;;Bursa subtendinea musculus infraspinati;;Bourse sous-tendineuse du muscle infra-épineux;%Bourse subtendineuse du muscle semi-épineux;Bursa subtendinosa del músculo infraespinoso;;Bursa subtendinae do músculo infraespinhal;
Subtendinous bursa of supraspinous muscle (su);;Bursa subtendinea musculus supraspinati (su);;Bourse sous-tendineuse du muscle supra-épineux (su);%Bourse subtendineuse du muscle supra-épineux;Bursa subtendinosa del músculo supraespinoso (su);;Bursa subtendínea do músculo supraespinhal (su);
Subtentinous bursa of subscapular muscle;;Bursa subtendinea musculus subscapularis;;Bourse sous-tendineuse du muscle subscapulaire;%Bourse subtendineuse du muscle subscapulaire;Bursa subtendinosa del músculo subscapularis;;Bursa subtendinum do músculo subescapular;
Subtendinous bursa of teres major muscle (su);;Bursa subtendinea musculus teretis majoris (su);;Bourse sous-tendineuse du muscle grand rond (su);%Bourse subtendineuse du muscle grand rond;Bursa subtendinosa del músculo teres mayor (su);;Bursa subtendinum do músculo redondo maior (su);
