NAVID;Français
2117;Ligaments interdistaux [intercunéiformes] interosseux
2118;Ligaments tarsiens dorsaux
2119;Ligament talocentrodistométatarsien
2120;Ligaments interdistaux [intercunéiformes] dorsaux
2121;Ligament quartodistal [cunéocuboïde] dorsal
2122;Ligament centroquartal [cuboïdonaviculaire] dorsal
2123;Ligament calcanéocentral [calcanéonaviculaire] dorsal
2124;Ligament calcanéoquartal [calcanéocuboïde] dorsal
2125;Ligaments centrodistaux [cunéonaviculaires] dorsaux (Car)
2126;Ligaments tarsiens plantaires
2127;Ligament plantaire long
2128;Ligament calcanéoquartal [calcanéocuboidien] plantaire
2129;Ligament calcanéocentral [calcanéonaviculaire] plantaire
2130;Ligaments centrodistaux [cunéonaviculaires] plantaires
2131;Ligament centroquartal [cuboïdonaviculaire] plantaire
2132;Ligaments interdistaux [intercunéiformes] plantaires
2133;Ligament quartodistal [cunéocuboïdien] plantaire
2134;Articulations tarsométatarsiennes
2135;Capsules articulaires tarsométatarsiennes
2136;Ligaments tarsométatarsiens dorsaux
2137;Ligaments tarsométatarsiens plantaires
2138;Ligaments tarsométatarsiens [cunéometatarsiens] interosseux
2139;Articulations intermétatarsiennes
2140;Capsules articulaires intermétatarsiennes
2141;Ligaments métatarsiens interosseux
2142;Ligaments métatarsiens dorsaux
2143;Ligaments métatarsiens plantaires
2144;Espaces interosseux métatarsiens
2145;Articulations métatarsophalangiennes
2145;Capsules articulaires métatarsophalangiennes
2146;Récessus métatarsophalangien plantaire
2147;Ligaments métatarsophalangiens plantaires
2148;Ligament métatarso-intersésamoïdiens
2149;Ligament métatarsien transverse profond
2150;Articulations interphalangiennes du pied
2150;Capsules articulaires interphalangiennes du pied
2150;Ligaments interphalangiens collatéraux du pied
2151;Récessus interphalangien plantaire
2152;Ligaments interphalangiens plantaires
2153;Myologie
2154;Muscle
2154;Structure générale du muscle
2155;Chef
2156;Ventre
2157;Queue
2154;Types de muscles selon leur forme
2158;Muscle fusiforme
2159;Muscle carré
2160;Muscle triangulaire
2161;Muscle plat
2162;Muscle unipenné
2163;Muscle bipenné
2164;Muscle multipenné
2154;Types de muscles selon leur fonction
2165;Muscle fléchisseur
2166;Muscle extenseur
2167;Muscle abducteur
2168;Muscle rotateur
2169;Muscle pronateur
2170;Muscle dilatateur
2171;Muscle tenseur
2172;Muscle dépresseur
2173;Muscle élévateur
2174;Muscle rétracteur
2175;Muscle protracteur
2176;Muscle sphincter
2177;Muscle orbiculaire
2178;Muscle articulaire
2179;Muscle squelettique
2154;Points d'attache
2180;Origine
2181;Terminaison
2182;Muscle cutané
2183;Tendon
2184;Péritendon
2185;Aponévrose
2186;Périmysium
2187;Fascias
2188;Intersection tendineuse
2189;Arcade tendineuse
2190;Gaine fibreuse du tendon
2191;Gaine synoviale du tendon
2192;Mésotendon
2193;Trochlée musculaire
2194;Bourse synoviale
2195;Muscles cutanés
2196;Muscle cutané du tronc
2197;Muscle cutané omobrachial
2198;Muscle préputal crânial
2199;Muscle préputal caudal
2200;Muscle supramammaire crânial (Car)
2201;Muscle supramammaire caudal (Car)
2202;Muscle sphincter superficiel du cou
2203;Platysma
2204;Muscle cutané du cou
2205;Muscle cutané facial
2206;Muscle sphincter profond du cou
2207;Muscles de la tête
2207;Muscles du crâne
2208;Muscle droit ventral de la tête
2209;Muscle grand droit dorsal de la tête
2210;Muscle petit droit dorsal de la tête
2211;Muscle droit latéral de la tête
2212;Muscle oblique crânial de la tête
2213;Muscle oblique caudal de la tête
2214;Muscle long de la tête
2215;Muscle frontal
2216;Muscle occipital
2217;Muscle latéral du nez
2218;Muscle dilatateur apical du nez
2207;Muscles de l'œil et des paupières
2219;Muscle orbiculaire de l'œil
2220;Partie palpébrale
2221;Partie orbitaire
2222;Muscle élévateur de l'angle médial de l'oeil
2223;Muscle rétracteur de l'angle latéral de l'oeil
2224;Muscle malaire
2207;Muscles de l'oreille
2207;Muscles extrinsèques de l'oreille
2225;Muscles auriculaires rostraux
2226;Muscles scutulo-auriculaires superficiels
2227;Muscles scutulo-auriculaires profonds
2228;Muscle frontoscutulaire
2229;Muscle zygomaticoscutulaire
2230;Muscle zygomatico-auriculaire
2231;Muscles auriculaires dorsaux
2232;Muscle interscutulaire
2233;Muscle pariétoscutulaire
2234;Muscle pariéto-auriculaire
2235;Muscles auriculaires caudaux
2236;Muscle cervicoscutulaire
2237;Muscle cervico-auriculaire superficiel
2238;Muscle cervico-auriculaire moyen
2239;Muscle cervico-auriculaire profond
2240;Muscles auriculaires ventraux
2241;Muscle stylo-auriculaire
2242;Muscle parotido-auriculaire
2207;Muscles de la bouche et du nez
2243;Muscle incisif supérieur
2244;Muscle incisif inférieur
2245;Muscle orbiculaire de la bouche
2246;Partie marginale
2247;Partie labiale
2248;Muscle abaisseur de l'angle de la bouche
2249;Muscle zygomatique
2250;Muscle élévateur nasolabial
2251;Muscle releveur de la lèvre supérieure
2252;Muscle canin
2253;Muscle abaisseur de la lèvre supérieure (su, Ru)
2254;Muscle abaisseur de la lèvre inférieure
2255;Muscle buccinateur
2256;Partie buccale
2257;Partie molaire
2258;Muscle mentonnier
2207;Muscles de la mastication
2259;Muscle masséter
2260;Partie superficielle du muscle masséter
2261;Partie profonde du muscle masséter
2262;Muscle temporal
2263;Muscle ptérygoïdien latéral
2264;Muscle ptérygoïdien médial
2265;Muscle digastrique
2266;Ventre rostral
2267;Tendon intermédiaire (Ru, eq)
2268;Ventre caudal
2269;Partie occipitomandibulaire
2270;Fascia buccopharyngien
2271;Fascia massétérique
2272;Fascia parotidien
2273;Fascia temporal
2274;Lame superficielle du fascia temporal
2275;Lame profonde du fascia temporal
2276;Muscles cervicaux
2277;Muscle splénius de la tête
2278;Muscle splénius cervicis
2279;Muscle brachiocéphalique
2280;Muscle cléidobrachial-Partie claviculaire [Muscle deltoïde]
2281;Muscle cléidocéphalique
2282;Partie mastoïdienne
2283;Partie occipitale (su, Ru)
2284;Partie cervicale (Car)
2285;Intersection claviculaire
2286;Muscle omotransversaire
2287;Muscle sternocéphalique
2288;Partie mandibulaire (bo, cap, eq)
2289;Partie mastoïde (Car, bo, cap)
2290;Partie occipitale (Car)
2291;Muscle long du cou
2292;Muscles scalènes
2292;Muscle scalène ventral (Un)
2293;Muscle scalène moyen
2294;Muscle scalène dorsal (Car, su, Ru)
2295;Muscle dentelé cervical ventral
2296;Muscles hyoïdiens
2297;Muscle stylohyoïdien
2298;Muscle mylohyoïdien
2299;Muscle géniohyoïdien
2300;Muscle sternohyoïdien
2301;Muscle omohyoïdien
2302;Muscle sternothyroïdien
2302;Muscles sternohyoidien et sternothyroidien
2303;Muscle thyrohyoïdien
2304;Muscle occipitohyoïdien
2305;Muscle cératohyoïdien
2306;Muscle hyoïdien transverse
2276;Fascias du cou
2307;Fascia cervical
2308;Lame superficielle du fascia cervical
2309;Lame prétrachéale
2310;Gaine carotidienne
2311;Lame prévertébrale
2312;Muscles du dos
2313;Muscles trapèze et detltoïde
2313;Muscle trapèze
2314;Partie cervicale
2315;Partie thoracique
2316;Muscle grand dorsal
2317;Muscle rhomboïde
2317;Muscle rhomboïde thoracique
2318;Muscle rhomboïde cervical
2319;Muscle rhomboïde de la tête (Car, su)
2320;Muscle dentelé dorsal caudal
2321;Muscle dentelé dorsal crânial
2322;Muscles érecteurs du rachis
2323;Muscle iliocostal
2324;Muscle iliocostal des lombes
2325;Muscle iliocostal du thorax
2326;Muscle iliocostal du cou
2326;Muscles intertransversaire et iliocostal du cou
2327;Muscles complexus et longissimus
2327;Muscle longissimus
2328;Muscle longissimus des lombes
2329;Muscle longissimus du thorax
2330;Muscle longissimus du cou
2331;Muscle longissimus de l'atlas
2332;Muscle longissimus de la tête
2333;Muscle épineux
2334;Muscle épineux du thorax
2335;Muscle épineux du cou
2336;Muscle transversaire épineux
2337;Muscle semi-épineux
2338;Muscle semi-épineux du thorax
2339;Muscle semi-épineux du cou
2340;Muscle semi-épineux de la tête
2341;Muscle digastrique du cou
2342;Muscle complexus
2343;Muscles multifides
2344;Muscles multifides latéraux
2345;Muscles multifides médiaux
2346;Muscles multifides profonds
2347;Muscles rotateurs
2348;Muscles interépineux
2349;Muscles intertransversaires
2350;Muscles intertransversaires des lombes
2351;Muscles intertransversaires du thorax
2352;Muscles intertransversaires dorsaux du cou
2353;Muscles intertransversaires moyens du cou
2354;Muscles intertransversaires ventraux du cou
2312;Fascias du dos
2355;Fascia thoracolombaire
2356;Ligament dorsoscapulaire
2357;Fascia nuchal
2358;Muscles du thorax
2358;Muscles pectoraux
2359;Muscles pectoraux superficiels
2360;Muscle pectoral descendant
2361;Muscle pectoral transverse
2361;Muscles pectoraux descendant et transverse
2362;Muscle pectoral profond (ascendant)
2363;Muscle subclavier
2364;Fascia pectoral
2358;Muscles de la paroi thoracique
2365;Muscle dentelé ventral du thorax
2366;Muscles élévateurs des côtes
2367;Muscles intercostaux externes
2368;Muscles intercostaux internes
2369;Muscles subcostaux
2370;Muscle rétracteur des côtes
2371;Muscle transverse du thorax
2372;Muscle droit du thorax
2373;Fascia endothoracique
2374;Diaphragme
2375;Partie lombaire du diaphragme
2376;Branche droite du diaphragme
2377;Branche gauche du diaphragme
2378;Partie costale du diaphragme
2379;Partie sternale du diaphragme
2380;Hiatus aortique
2381;Hiatus œsophagien
2382;Ligament central
2383;Cupule diaphragmatique
2384;Foramen de la veine cave
2385;Arc lombosacré
2386;Muscles de l'abdomen
2387;Muscle droit de l'abdomen
2388;Intersections tendineuses
2389;Anneau des veines mamaires
2390;Gaine musculaire du droit de l'abdomen
2391;Lame externe
2392;Lame interne
2393;Ligne arquée
2394;Muscle oblique externe de l'abdomen
2395;Arc inguinal [Ligament inguinal]
2396;Muscle oblique interne de l'abdomen
2397;Muscle crémaster
2398;Muscle transverse de l'abdomen
2399;Muscle carré des lombes
2400;Structures tendineuses et ligamentaires de l'abdomen
2400;Gaine jaune de l'abdomen
2401;Ligne blanche
2402;Anneau ombilical
2403;Ligament fundiforme du pénis
2404;Tendon prépubien
2405;Ligament suspenseur du pénis
2406;Ligament suspenseur du clitoris
2407;Fascia transverse
2408;Canal inguinal
2409;Anneau inguinal profond
2410;Anneau inguinal superficiel
2411;Pilier interne de l'anneau inguinal superficiel
2412;Pilier latéral de l'anneau inguinal superficiel
2413;Fibres intercrurales
2414;Couche fémorale
2415;Muscles de la queue
2416;Muscle coccygien
2417;Muscle sacrococcygien ventral médial
2418;Muscle sacrococcygien ventral latéral
2419;Muscle sacrococcygien dorsal médial
2420;Muscle sacrococcygien dorsal latéral
2421;Muscle intertransversaires ventraux caudaux
2422;Muscle intertransversaires dorsaux caudaux
2423;Fascia caudal
2424;Muscles du membre thoracique
2424;Muscles de l'épaule
2425;Muscle deltoïde
2426;Partie scapulaire épineuse du deltoïde
2427;Partie acromiale du deltoïde
2428;Partie claviculaire du deltoïde
2429;Muscle supra-épineux
2430;Muscle infra-épineux
2431;Muscle petit rond
2432;Muscle grand rond
2432;Muscle grand rond et grand dorsal
2433;Muscle subscapulaire
2434;Muscle articulaire de l'épaule (fe, su, eq)
2435;Muscle coracobrachial
2424;Muscles du bras
2436;Muscle biceps brachial
2436;Muscles biceps brachial et brachial
2437;Rétinaculum transverse
2438;Lacertus fibrosus
2439;Muscle brachial
2440;Muscle triceps brachial
2441;Chef long du triceps brachial
2442;Chef latéral du triceps brachial
2443;Chef médial du triceps brachial
2444;Chef accessoire du triceps brachial
2445;Muscle anconé
2446;Muscle tenseur du fascia antébrachial
2424;Muscles de l'avant-bras
2447;Muscle rond pronateur
2448;Muscle fléchisseur radial du carpe
2449;Muscle fléchisseur ulnaire du carpe
2450;Chef huméral du fléchisseur ulnaire du carpe
2451;Chef ulnaire du fléchisseur ulnaire du carpe
2452;Muscle fléchisseur superficiel des doigts
2453;Ligament accessoire du muscle fléchisseur sup. des doigts
2454;Manica flexoria
2455;Muscle fléchisseur profond des doigts
2456;Chef huméral du muscle fléchisseur profond des doigts
2457;Chef radial du muscle fléchisseur profond des doigts
2458;Chef ulnaire du muscle fléchisseur profond des doigts
2459;Ligament accessoire du muscle fléchisseur profond des doigts
2460;Couche transversale
2461;Muscles interfléchisseurs
2462;Muscle carré pronateur
2463;Muscle brachioradial
2464;Muscle extenseur radial du carpe
2465;Muscle long extenseur radial du carpe
2466;Muscle court extenseur radial du carpe
2467;Muscle extenseur commun des doigts
2468;Chef accessoire (Ru, eq)
2469;Muscle extenseur latéral des doigts
2470;Chef accessoire (ov, cap, eq)
2471;Muscle extenseur ulnaire du carpe
2472;Muscle supinateur
2473;Muscle long abducteur du doigt I
2473;Muscle long fléchisseur du doigt I
2474;[Muscle extenseur oblique du carpe]
2475;Muscle extenseur des doigts I et II
2475;Muscle extenseur du doigt I
2476;Muscle extenseur du doigt II
2477;Muscle court fléchisseur des doigts
2478;Muscle court abducteur du pouce
2479;Muscle court fléchisseur du pouce
2480;Muscle adducteur du pouce
2480;Muscles court abducteur et court fléchisseur du pouce
2480;Muscle opposant du pouce
2481;Muscle abducteur du doigt II
2482;Muscle fléchisseur du doigt II
2483;Muscle adducteur du doigt II
2484;Muscle abducteur du doigt V
2485;Muscle fléchisseur du doigt V
2486;Muscle adducteur du doigt V
2487;Muscles lombricaux de la main
2488;Muscles interosseux de la main
2488;Muscle interosseux et fléchisseur du doigt V
2424;Fascias et rétinaculums
2489;Fascia axillaire latéral
2490;Fascia axillaire médial
2491;Fascia brachial
2492;Couche superficielle du fascia brachial
2493;Couche profonde du fascia brachial
2494;Fascia antébrachial
2495;Couche superficielle du fascia antebrachial
2496;Couche profonde du fascia antebrachial
2497;Fascia dorsal de la main
2498;Rétinaculum des extenseurs
2499;Fascia palmaire de la main
2500;Rétinaculum des fléchisseurs
2501;Canal carpien
2502;Fascia des doigts
2503;Ligament métacarpien transverse superficiel
2504;[Ligament annulaire palmaire]
2505;Gaines fibreuses des doigts de la main
2506;Partie annulaire de la gaine fibreuse
2507;[Ligament annulaire du doigt]
2508;Partie cruciforme de la gaine fibreuse
2509;Scutum proximal
2510;Scutum moyen
2511;Scutum distal
2512;Gaines synoviales des tendons des doigts de la main
2513;Gaines des tendons
2514;Muscles du membre pelvien
2514;Muscles de la hanche et de la cuisse
2515;Muscle iliopsoas
2516;Muscle iliaque
2517;Muscle grand psoas
2518;Muscle petit psoas
2519;Muscle fessier superficiel
2520;Muscle glutéofémoral
2521;Muscle glutéobiceps
2522;Muscle moyen fessier
2523;Muscle fessier accessoire
2524;Muscle fessier profond
2525;Muscle tenseur du fascia lata
2525;Muscles tenseur du fascia lata et fessier superficiel
2526;Muscle piriforme
2526;Muscles moyen fessier et piriforme
2527;Muscle obturateur interne
2528;Muscles jumeaux
2528;Muscle jumeau supérieur
2528;Muscle jumeau inférieur
2529;Muscle carré fémoral
2530;Muscle sartorius
2531;Partie crâniale du sartorius (ca)
2532;Partie caudale du sartorius (ca)
2530;Fascia lata et muscle sartorius
2533;Muscle articulaire de la hanche (Car, eq)
2534;Muscle quadriceps fémoral
2535;Muscle droit fémoral
2536;Muscle vaste latéral
2537;Muscles vaste médial et vaste intermédiaire
2537;Muscle vaste intermédiaire
2538;Muscle vaste médial
2539;Muscle articulaire du genou (Car, bo)
2540;Muscle pectiné
2541;Muscle gracile
2542;Tendon symphysaire
2543;Muscle adducteur
2544;Muscle long adducteur
2545;Muscle court adducteur
2546;Muscle grand adducteur
2547;Muscle obturateur externe
2548;Partie intrapelvienne
2514;Muscles de la jambe
2549;Muscle biceps fémoral
2550;Muscle abducteur caudal de la jambe (Car)
2551;Muscle semitendineux
2552;Muscle semimembraneux
2553;Muscle tibial crânial
2554;Muscle long extenseur des orteils
2555;Muscle troisième fibulaire
2556;Muscle long extenseur du doigt I (Car, su, ov)
2556;M. long extenseur des orteils et long extenseur du doigt I
2557;Muscle long fibulaire
2558;Muscle extenseur latéral des orteils
2559;Muscle court fibulaire
2560;Muscle triceps sural
2561;Muscle gastrocnémien
2562;Chef latéral du muscle gastrocnémien
2563;Chef médial du muscle gastrocnémien
2564;Muscle soléaire
2565;Tendon calcanéen commun
2566;Muscle fléchisseur superficiel des orteils
2567;Manica flexoria du pied
2568;Muscle poplité
2569;Fléchisseurs profonds des orteils
2570;Muscle fléchisseur latéral des orteils
2571;Muscle fléchisseur médial des orteils
2572;Muscle tibial caudal
2573;Tendon commun
2574;Ligament accessoire
2575;Muscles interfléchisseurs du pied
2576;Muscle court extenseur des orteils
2577;Muscle abducteur du premier orteil
2578;Muscle court fléchisseur du premier orteil
2579;Muscle adducteur du premier orteil
2580;Muscle abducteur du deuxième orteil
2581;Muscle adducteur du deuxième orteil
2582;Muscle abducteur du cinquième orteil
2583;Muscle adducteur du cinquième orteil
2584;Muscle court fléchisseur des orteils
2585;Muscle carré plantaire
2586;Muscles lombricaux du pied
2587;Muscles interosseux du pied
2588;Fascias de la hanche et de la cuisse
2588;Fascia glutéal
2589;Fascia lata
2590;Lame superficielle du fascia lata
2591;Lame profonde du fascia lata
2592;Fascia iliaque
2588;Espaces et structures associées
2593;Lacune musculaire
2594;Lacune vasculaire
2595;Anneau fémoral
2596;Septum fémoral
2597;Triangle fémoral
2598;Canal fémoral
2588;Fascias de la jambe et du pied
2599;Fascia crural
2600;Couche superficielle du fascia de la jambe
2601;Couche profonde du fascia de la jambe
2602;Lamina propria
2603;Rétinaculum des extenseurs de la jambe
2604;Rétinaculum des extenseurs du tarse
2605;Rétinaculum des extenseurs du métatarse
2606;Rétinaculum des muscles fibulaires
2607;Fascia dorsal du pied
2608;Fascia plantaire
2609;Fascia des orteils
2610;Ligament métatarsien superficiel transverse
2611;[Ligament annulaire plantaire]
2588;Gaines fibreuses et synoviales des tendons du pied
2612;Gaines fibreuses des orteils
2613;Partie annulaire de la gaine fibreuse du pied
2614;Scutum proximal du pied
2615;Scutum moyen du pied
2616;Scutum distal du pied
2617;Ligaments des tendons du pied
2618;Bourses et gaines synoviales
2618;Classification générale des bourses synoviales
2619;Bourse synoviale sous-cutanée
2620;Bourse synoviale sous-musculaire
2621;Bourse synoviale subfasciale
2622;Bourse synoviale sous-tendineuse
2623;Bourse synoviale subligamentaire
2624;Gaine synoviale du tendon des orteils
2625;Bourses et gaines synoviales de la tête, du cou et du tronc
2625;Bourses et gaines synoviales de la tête
2625;Bourses et gaines synoviales du cou
2625;Bourses et gaines synoviales de l'axe vertébral
2626;Gaine synoviale du muscle oblique dorsal
2627;Bourse du muscle tenseur du voile du palais
2628;Gaine du tendon du muscle digastrique
2629;Bourse sous-ligamentaire supraspinale
2630;Bourse sous-ligamentaire nuchale crâniale
2631;Bourse sous-ligamentaire nuchale caudale
2632;Bourses et gaines synoviales du membre thoracique
2633;Bourse sous-cutanée préscapulaire (eq)
2634;Bourse subdeltoïdienne
2635;Bourse sous-tendineuse du muscle coracobrachial
2636;Gaine synoviale du muscle coracobrachial
2637;Bourse sous-tendineuse du muscle infra-épineux
2638;Bourse sous-tendineuse du muscle supra-épineux (su)
2639;Bourse sous-tendineuse du muscle subscapulaire
2640;Bourse sous-tendineuse du muscle grand rond (su)
2641;Bourse sous-tendineuse du muscle petit rond
2642;Gaine synoviale intertuberculaire
2643;Bourse intertuberculaire
2644;Bourse subtendineuse de l'olécrâne
2645;Bourse infratendineuse olécranienne
2646;Bourse subtendineuse du muscle triceps brachial
2647;Bourse bicipitoradiale
2648;Bourse sous-tendineuse du muscle brachial
2649;Bourse sous-cutanée précarpale
2650;Gaine tendineuse du muscle long abducteur du doigt I
2651;Bourse subtendineuse du m. long abducteur du doigt I (bo, eq)
2652;Gaine du tendon extenseur radial du carpe
2653;Gaine tendineuse du muscle extenseur commun des doigts
2654;Gaine tendineuse du m. extenseur lat. des doigts de la main
2655;Gaine tendineuse du muscle extenseur ulnaire du carpe
2656;Bourse sous-tendineuse du muscle extenseur ulnaire du carpe
2657;Bourse sous-tendineuse du muscle extenseur radial du carpe
2658;Gaine tendineuse du fléchisseur radial du carpe
2659;Gaine synoviale des muscles fléchisseurs communs
2660;Bourse subtendineuse du muscle fléchisseur profond des doigts
2661;Bourses musculaires de m. fléchisseur superficiel des doigts
2662;Gaine tendineuse du muscle fléchisseur ulnaire du carpe (Car)
2663;Bourse subtendineuse du m. ext. commun des doigts (Ru, éq)
2664;Bourse subtend. du m. ext. lat. des doigts (Ru, éq)
2665;Gaine tendineuse distale du m. ext. commun des doigts (Ru)
2666;Bourses sous-tendineuses des muscles interosseux de la main
2667;Bourses podotrochléaire de la main
2668;Bourses et gaines synoviales du membre pelvien
2669;Bourse trochantérique sous-cutanée
2670;Bourse sous-cutanée iliaque [coxale]
2671;Bourse sous-cutanée ischiatique
2672;Bourse trochantérique du muscle fessier superficiel
2673;Bourses trochantériques du muscle fessier moyen
2674;Bourse trochantérique du muscle fessier accessoire (eq)
2675;Bourse trochantérique du muscle fessier profond
2676;Bourse ischiatique du muscle obturateur interne (Car, eq)
2677;Bourse ischiatique du muscle obturateur externe (su, Ru)
2678;Bourse sous-tendineuse du muscle obturateur interne (Car, eq)
2679;Bourse sous-tendineuse du muscle obturateur externe (su, Ru)
2680;Bourse trochantérique du muscle biceps fémoral
2681;Bourse ischiatique du muscle semitendineux
2682;Bourse du muscle droit fémoral
2683;Bourse subtendineuse du muscle iliaque
2684;Bourse prépatellaire sous-cutanée
2685;(Bourse subfasciale prépatellaire)
2686;Bourse prépatellaire sous-tendineuse
2687;Bourse infrapatellaire proximale (eq)
2688;Bourse infrapatellaire distale
2689;Bourse sous-cutanée de la tubérosité tibiale
2690;Bourse sous-tendineuse du muscle semitendineux
2691;Bourse sous-tendineuse du biceps fémoral distal
2692;Récessus subpoplité
2693;Récessus sous-extenseur
2694;Bourse sous-cutanée de la malléole latérale
2695;Bourse sous-cutanée malléolaire
2695;Gaines tendineuses du membre pelvien
2696;Gaine tendineuse du muscle tibial crânial
2697;Gaine du tendon du troisième fibulaire (su, Ru)
2698;Gaines tendineuses du muscles long extenseur des doigts
2699;Gaine tendineuse du muscle extenseur lat. des orteils
2700;Gaine tendineuse du muscle tibial caudal (ca)
2701;Gaine tendineuse du muscle fléchisseur médial des doigts
2702;Gaine tendineuse du muscle fléchisseur lat. des doigts
2703;Gaine tendineuse du muscle long fibulaire
2704;Bourse subtendineuse du muscle long fibulaire (su, Ru)
2704;Bourse subtendineuse du muscle court fibulaire (Car)
2705;Bourse subtendineuse du muscle tibial crânial
2706;Bourse sous-cutanée calcanéenne
2707;Bourse calcanéenne subtend. du m. fléchisseur sup. des doigts
2708;Bourse tendineuse calcanéenne
2709;Gaine tendineuse du muscle long fibulaire plantaire
2710;Bourse subtendeneuse du muscle long fibulaire (Su, Ru)
2711;Bourse subtendineuse du m. long extenseur des doigts (Ru, éq)
2712;Bourse subtend. du m. ext. lat. des orteils (Ru, eq)
2713;Gaine dist. des tendons du m. long extenseur des doigts (Ru)
2714;Gaines synoviales tendineuses des orteils
2715;Bourses subtendineuses des muscles interosseux du pied
2716;Bourses podotrochléaires du pied
2717;Splanchnologie
2717;Muqueuses
2718;Muqueuse de l'œsophage
2719;Muqueuse de l'estomac
2720;Muqueuse de l'intestin grêle
2721;Muqueuse du gros intestin
2722;Muqueuse de la vésicule biliaire
2723;Muqueuse du bassinet
2724;Muqueuse de la vessie
2725;Muqueuse de l'urètre féminin
2726;Muqueuse de l'urètre masculin
2727;Muqueuse de la trompe utérine
2728;Muqueuse du vagin
2729;Muqueuse du conduit déférent
2730;Muqueuse de la glande séminale
2731;Couche muqueuse propre
2732;Lame musculaire de la muqueuse
2733;Sous-muqueuse du pharynx
2734;Sous-muqueuse de l'œsophage
2735;Sous-muqueuse de l'estomac
2736;Sous-muqueuse de l'intestin grêle
2737;Sous-muqueuse de la trachée
2738;Sous-muqueuse de la bronche
2739;Sous-muqueuse de la vessie
2740;Tunique musculaire
2741;Tunique fibreuse
2742;Tunique albuginée
2743;Tunique adventice
2744;Couche sous-séreuse
2745;Tunique séreuse
2746;Parenchyme
2747;Stroma
2748;Glande
2749;Lobe
2750;Lobule
2751;Glande muqueuse
2752;Glande séreuse
2753;Glande séromuqueuse
2754;Appareil digestif
2754;Cavité buccale et structures associées
2755;Vestibule oral
2756;Lèvres
2757;Philtrum
2758;Angle de la bouche
2759;Corps adipeux de la joue
2760;Organe juxta-oral
2761;Cavité buccale propre
2762;Palais
2763;Palais dur
2764;Palais mou
2765;Raphé palatin
2766;Récessus sublingual latéral
2767;Muqueuse de la bouche
2768;Frein de la lèvre supérieure
2769;Frein de la lèvre inférieure
2770;Gencive
2771;Bord de la gencive
2772;Papille gingivale [interdentaire]
2773;Sillon gingival
2774;Caroncule sublinguale
2775;Tonsille sublinguale
2776;Pli sublingual
2777;Organe orobasal
2778;Papille parotidienne
2779;Papille zygomatique (Car)
2780;Rides palatines
2781;Pulvinus dentaire
2782;Papille incisive
2783;Papilles labiales (ca, Ru)
2784;Papilles buccales (Ru)
2785;Pli ptérygomandibulaire
2786;Glandes de la bouche
2787;Glandes salivaires mineures
2788;Ganglions labiaux
2789;Ganglions buccaux
2790;Ganglions buccaux dorsaux
2791;Ganglion zygomatique
2792;Grand canal de la glande zygomatique
2793;Petit canal de la glande zygomatique
2794;Ganglions buccaux intermédiaires (Ru)
2795;Ganglions buccaux ventraux
2796;Ganglions molaires
2797;Ganglions palatins
2798;Ganglions linguaux
2799;Ganglions dégustatifs
2800;Ganglion lingual apical
2801;Ganglion paracaronculaire (cap, eq)
2802;Glandes salivaires majeures
2803;Ganglion sublingual monostomatique
2804;Grand canal sublingual
2805;Ganglion sublingual polystomatique
2806;Petit canal sublingual
2807;Conduit mandibulaire
2808;Glande parotide
2809;Partie superficielle de la glande parotide
2810;Partie profonde de la glande parotide
2811;Ganglion parotidien accessoire
2812;Canal parotidien
2813;Dents
2813;Dents (Os incisif)
2813;Dents (Os maxillaire)
2813;Dents (Mandibule)
2813;Dents labiales
2813;Dents jugales
2813;Dents supérieures
2813;Dents inférieures
2814;Corps de la dent
2815;Couronne clinique de la dent
2816;Cuspide de la dent
2817;Sommet de la cuspide
2818;Tubercule de la couronne de la dent
2819;Infundibulum dentaire
2820;Pli d'émail
2821;Crête de l'émail
2822;Couronne clinique
2823;Col de la dent
2824;Racine de la dent
2825;Apex de la racine de la dent
2826;Racine clinique
2827;Face occlusale
2828;Surface vestibulaire [faciale]
2829;Surface linguale des dents
2830;Surface de contact de la dent
2831;Face mésiale
2832;Face distale
2833;Crête marginale
2834;Bord incisif
2835;Cavité de la dent
2836;Cavité coronale de la dent
2837;Corne de la cavité dentaire
2838;Canal de la racine de la dent
2839;Ouverture de l'apex de la dent
2840;Pulpe de la dent
2841;Pulpe coronale
2842;Pulpe radiculaire
2843;Dentine
2844;Email
2845;Cément
2846;Arcade dentaire supérieure
2847;Arcade dentaire inférieure
2848;Diastème
2849;Dents incisives
2849;Incisive supéromédiale
2849;Incisive intermédiaire supérieure
2849;Incisive supérolatérale
2849;Incisive inféromédiale
2849;Incisive intermédiaire inférieure
2849;Incisive inférolatérale
2850;Canines
2850;Canine supérieure
2850;Canine inférieure
2851;Dents prémolaires
2851;Première prémolaire supérieure
2851;Deuxième prémolaire supérieure
2851;Troisième prémolaire supérieure
2851;Quatrième prémolaire supérieure
2851;Première prémolaire inférieure
2851;Deuxième prémolaire inférieure
2851;Troisième prémolaire inférieure
2851;Quatrième prémolaire inférieure
2852;Dent de lupin (eq)
2853;Dents molaires
2853;Première molaire supérieure
2853;Deuxième molaire supérieure
2853;Troisième molaire supérieure
2853;Première molaire inférieure
2853;Deuxième molaire inférieure
2853;Troisième molaire inférieure
2854;Dent carnassière (Car)
2855;Dents déciduales
2856;Dents permanentes
2857;Corps de la langue
2858;Racine de la langue
2859;Pointe de la langue
2860;Dos de la langue
2861;Torus lingual (Ru)
2862;Fosse linguale (bo)
